timestamp,open,high,low,close,volume
2026-07-06T00:00:00+08:00,4552,4595,4543,4547,28380
2026-07-07T00:00:00+08:00,4550,4618,4528,4609,37460
2026-07-08T00:00:00+08:00,4592,4630,4563,4594,31790
2026-07-09T00:00:00+08:00,4581,4589,4495,4513,37700
2026-07-13T00:00:00+08:00,4533,4605,4518,4573,36130
2026-07-14T00:00:00+08:00,4591,4595,4538,4569,32320
2026-07-15T00:00:00+08:00,4593,4614,4568,4606,23590
2026-07-16T00:00:00+08:00,4604,4608,4575,4597,24320
2026-07-20T00:00:00+08:00,4644,4650,4588,4610,30570
2026-07-21T00:00:00+08:00,4608,4633,4592,4622,44360
2026-07-22T00:00:00+08:00,4619,4721,4616,4710,44010
2026-07-23T00:00:00+08:00,4721,4786,4712,4722,40510
2026-07-27T00:00:00+08:00,4678,4685,4603,4642,34310
2026-07-28T00:00:00+08:00,4643,4681,4633,4664,31370
2026-07-29T00:00:00+08:00,4675,4689,4635,4683,26570
2026-07-30T00:00:00+08:00,4674,4686,4627,4643,27340
2026-08-03T00:00:00+08:00,4623,4702,4614,4696,66440
2026-08-04T00:00:00+08:00,4664,4723,4649,4702,35430
2026-08-05T00:00:00+08:00,4705,4715,4665,4686,26970
2026-08-06T00:00:00+08:00,4690,4698,4648,4677,27590
